name,price,brand,model name,color,screensize
"ZEBRONICS ZEB-FIT7220CH Bluetooth Smart Watch, 4.4cm (1.75"") Full Touch Curved Screen, Metal Body,7 Days Data Storage,SpO2,BP & Heart Rate Monitor,IP67 Waterproof, Multiple Watch Faces (Gold)","1,999",ZEBRONICS,ZEB-FIT7220CH,Gold,4.4 Centimetres
"ZEBRONICS ZEB-FIT4220CH Smart Fitness Watch with Call Function via Built-in Speaker and Mic, SpO2, BP & Heart Rate Monitor, IP67 Water Resistant, 7 Sports Mode (Silver)","2,199",ZEBRONICS,ZEB-FIT4220CH (SILVER),Silver,3.3 Centimetres
"ZEBRONICS ZEB-FIT8220CH Smart Watch with 4.3cm Large Square Touch Display, IP68 Waterproof, Heart Rate, BP, SpO2 Monitor,12 Sports Mode, Caller ID, All Notifications and Custom Watch face (Rose Gold)","1,399",ZEBRONICS,Zebronics FIT,Rose gold,4.3 Centimetres
"Zebronics ZEB-FIT4220CH Smart Fitness Watch with Call function via built-in Speaker and Mic, SpO2, BP & Heart Rate Monitor, IP67 Water Resistant, 7 Sports Mode (Silver Rim + Gray Strap)","2,199",ZEBRONICS,ZEB-FIT4220CH (SILVER),Grey,3.3 Centimetres
"ZEBRONICS Zeb-FIT 7220CH Bluetooth Smart Watch,1.75""(4.4cm) Full Touch with 2.5D Curved Screen,Metal Body,7 Days Data Storage,SpO2,BP & Heart Rate Monitor,IP67 Waterproof, Multiple Watch Faces(Black)","2,499",ZEBRONICS,ZEB-FIT7220CH,Black,4.4 Centimetres
"ZEBRONICS DRIP Smart Watch with Bluetooth Calling, 4.3cm (1.69""), 10 Built-in & 100+ Watch Faces, 100+ Sport Modes, 4 Games, Voice Assistant, 8 Menu UI, Fitness Health & Sleep Tracker (Metal Black)","1,999",ZEBRONICS,ZEB-DRIP (METAL BLACK),Metal Black,4.29 Centimetres
"ZEBRONICS Iconic LITE AMOLED Smartwatch with Bluetooth Calling, 100+ Sport Modes, IP67, 1.78"" 2.5D Curved Display, Voice Assistant, 10 Built-in / Customizable Watch Faces and Sleep Monitor (Silver)","3,499",ZEBRONICS,ZEB-COSMOS LV2 - SILVER (ICONIC LITE),Silver,1.78 Inches
"ZEBRONICS ZEB-FIT8220CH Smart Watch with 4.3cm Large Square Touch Display, IP68 Waterproof, Heart Rate, BP, SpO2 Monitor,12 Sports Mode, Caller ID, All Notifications and Custom Watch face (Blue)","1,399",ZEBRONICS,Zebronics FIT,Blue,4.3 Centimetres
"ZEBRONICS ZEB-FIT7220CH Bluetooth Smart Watch,4.4cm(1.75"") Full Touch Curved Screen,Metal Body & Metal Strap,7 Days Data Storage,SpO2,BP & Heart Rate Monitor,IP67 Waterproof (Metallic Black)","2,199",ZEBRONICS,ZEB-FIT7220CH,Metallic Black,4.4 Centimetres
"ZEBRONICS DRIP Smart Watch with Bluetooth Calling, 4.3cm (1.69""), 10 Built-in & 100+ Watch Faces, 100+ Sport Modes, 4 Games, Voice Assistant, 8 Menu UI, Fitness Health & Sleep Tracker (Metal Silver)","1,999",ZEBRONICS,ZEB-DRIP (METAL SILVER),Metal Silver,4.29 Centimetres
"ZEBRONICS ZEB-FIT280CH Smart Watch with Screen Size 3.55cm (1.39inch) 12 Sports Modes, IP68 Waterproof, Heart Rate, BP, SpO2, Caller ID, 7 Days Storage (Blue)","1,099",ZEBRONICS,Zeb-Fit280CH(Blue),Blue,3.55 Centimetres
"ZEBRONICS ZEB-FIT280CH Smart Watch with Screen Size 3.55cm (1.39inch) 12 Sports Modes, IP68 Waterproof, Heart Rate, BP, SpO2, Caller ID, 7 Days Storage (Black+ Red)","1,099",ZEBRONICS,Zeb-Fit280CH(Blue),Black+ Red,3.55 Centimetres
"Zebronics DRIP Smart Watch with Bluetooth Calling, 4.3cm (1.69""), 10 built-in & 100+ Watch Faces, 100+ Sport Modes, 4 built-in Games, Voice Assistant, 8 Menu UI, Fitness Health & Sleep Tracker (Black)","1,799",ZEBRONICS,ZEB-DRIP,Black,4.29 Centimetres
"(Renewed) CrossBeats ORBIT- 1.3"" IPS HD Display BT Calling with metal body, Spo2 Smartwatch (Black Strap, Free size)","2,625",CrossBeats,Crossbeats orbit smartwatch-cr,null,null
"(Renewed) CrossBeats IGNITE PRO- 1.69"", Metal body, SpO2, Health & fitness tracking Smartwatch (Black Strap, Free size)","1,877",CrossBeats,Renew Crossbeats Smartwatch-cr,null,null
"(Renewed )CrossBeats ORBIT- Special Edition- 1.3"" IPS HD Display BT Calling Smartwatch (Brown Strap, 1.3)","2,590",CrossBeats,Renew Crossbeats Smartwatch-cr,null,null
"(Renewed) CrossBeats Ignite ATLAS In-Built GPS, 1.7"" 3D Curved HD Display, BT Calling, Smartwatch (Black Strap, Free size)","2,999",CrossBeats,Renew Crossbeats Ignite Atlas-cr,null,null
"(Renewed) CrossBeats IGNITE GRIT 1.75 Amoled Display,Rotating Crown, BT Calling,120 Sports Mode Smartwatch (Black Strap, Freesize)","2,490",CrossBeats,Renew Crossbeats Smartwatch-cr,null,null
"CrossBeats Ignite Spectra Premium Super Retina AMOLED Display smartwatch BT Calling, 1.78” 3D Curved Always on Display Ultra HD Clear View, AI Health Feature, 200+Watch Faces, 15 Days Battery-Black","4,499",CrossBeats,Ignite,Green,1.78 Inches
"CrossBeats Ignite Spectra Plus Premium Super Retina AMOLED smartwatch 1.78” Always on Display with BT Calling, Music & Storage up to 150+ Songs, TWS Pairing, AI Health Feature, 200+Watch Screen-Blue","4,999",CrossBeats,Ignite,Marine Blue,1.78 Inches
"(Renewed) CrossBeats ORBIT- 1.3"" IPS HD Display BT Calling with metal body, Spo2 Smartwatch (Black Strap, Free size)","2,625",CrossBeats,Crossbeats orbit smartwatch-cr,null,null
"(Renewed) CrossBeats IGNITE PRO- 1.69"", Metal body, SpO2, Health & fitness tracking Smartwatch (Black Strap, Free size)","1,877",CrossBeats,Renew Crossbeats Smartwatch-cr,null,null
"(Renewed )CrossBeats ORBIT- Special Edition- 1.3"" IPS HD Display BT Calling Smartwatch (Brown Strap, 1.3)","2,590",CrossBeats,Renew Crossbeats Smartwatch-cr,null,null
"(Renewed) CrossBeats Ignite ATLAS In-Built GPS, 1.7"" 3D Curved HD Display, BT Calling, Smartwatch (Black Strap, Free size)","2,999",CrossBeats,Renew Crossbeats Ignite Atlas-cr,null,null
"(Renewed) CrossBeats IGNITE GRIT 1.75 Amoled Display,Rotating Crown, BT Calling,120 Sports Mode Smartwatch (Black Strap, Freesize)","2,490",CrossBeats,Renew Crossbeats Smartwatch-cr,null,null
"CrossBeats Ignite Spectra Premium Super Retina AMOLED Display smartwatch BT Calling, 1.78” 3D Curved Always on Display Ultra HD Clear View, AI Health Feature, 200+Watch Faces, 15 Days Battery-Black","4,499",CrossBeats,Ignite,Green,1.78 Inches
"CrossBeats Ignite Spectra Plus Premium Super Retina AMOLED smartwatch 1.78” Always on Display with BT Calling, Music & Storage up to 150+ Songs, TWS Pairing, AI Health Feature, 200+Watch Screen-Blue","4,999",CrossBeats,Ignite,Marine Blue,1.78 Inches
"CrossBeats Ignite Atlas Smartwatch, Segment First in-Built GPS and Bluetooth Calling, 1.69” HD RealHue™ 3D Display, Smart AI Health Spo2 HR BP, 200+ Watch Faces, 30 Days Battery, Multi-Sports (Black)","3,999",CrossBeats,Ignite,Black,1.69 Inches
"CrossBeats Ignite GRIT Smart Watch, 1.75” AMOLED Display with Advanced Bluetooth Calling, Rotating Crown,AI Health Sensors, 150+ Sports Modes, 250+Watch Faces, in-Built Games, 15 Days Battery-Black","3,499",CrossBeats,Ignite,Black,1.75 Inches
"CrossBeats Ignite Spectra Plus Premium Super Retina AMOLED smartwatch 1.78” Always on Display with BT Calling, Music & Storage up to 150+ Songs, TWS Pairing, AI Health Feature, 200+Watch Screen-Black","4,999",CrossBeats,Ignite,Carbon black,1.78 Inches
"CrossBeats PRIZM Super Retina AMOLED Smart Watch with Personalized Always on Display, AOD Screen, Fast Charging, Hindi Language, Health Vitals with Temperature Sensor, Leather Strap-Black","3,999",CrossBeats,Orbit Prizm,Black,1.3 Inches
"CrossBeats Newly launched Ignite S5 Advanced AI ENC BT Calling Smartwatch, 1.96” Super AMOLED Anti-Glare Screen, Always on Display, SnapCharge™ Calculator, 500+ Watch Faces, AI Health Feature-Silver","4,999",CrossBeats,Ignite S5,Blue,1.96 Inches
"CrossBeats Orbit Advanced Dual chip BT Calling Smartwatch 1.3” 550 NITS HD Display Metal Body Leather Strap, Heart Rate Spo2 BP Sleep Monitor Fast Charge 10 Day Battery 200+Watch Face-Special Edition","3,499",CrossBeats,Orbit,Special Edition,1.3 Inches
"CrossBeats Ignite Bluetooth Calling Smart Watch for Men & Women, 1.7” RealHue™ Display, AI Voice Assistance, 250+ smartwatch Faces, Heart Rate & SpO2, Multi-Sport Modes, 15 Days Battery (Black)","1,899",CrossBeats,Ignite calling,Black,1.7 Inches
"CrossBeats Ignite Grande AMOLED Bluetooth Calling Smart Watch 1.75” 320×385 Pixels UniSync™ Single chipset, Emotions Tracking, 200+Watch Faces, AI Voice Assistance,SPO2,BP,Heart Rate Monitoring-Black","3,499",CrossBeats,Ignite Grande,Black,null
"CrossBeats Ignite Atlas Smartwatch, Segment First in-Built GPS and Bluetooth Calling, 1.69” HD RealHue™ 3D Display, Smart AI Health Spo2 HR BP, 200+ Watch Faces, 30 Days Battery, Multi-Sports (Blue)","3,999",CrossBeats,Ignite,Blue,1.69 Inches
"CrossBeats Orbit Sport BT Calling Smart Watch, in-App GPS, HD IPS Display & Metal Body, Heart Rate & SpO2 Monitoring, Multi Sports Modes 100+ smartwatch Faces, Notifications alerts_Black","2,999",CrossBeats,Orbit Sports,Sporty Black,1.3 Inches
"CrossBeats Ignite S4 Max BT Calling Smartwatch, 1.9” Edge-to-Edge UHD TrueHue™ Always on Display 320×385 Pixels SnapCharge™ Calculator, 500+ Watch Faces, AI Health Feature-Silver","3,999",CrossBeats,Ignite,Silver,1.9 Inches
"CrossBeats Newly launched Ignite S5 Advanced AI ENC BT Calling Smartwatch, 1.96” Super AMOLED Anti-Glare Screen, Always on Display, SnapCharge™ Calculator, 500+ Watch Faces, AI Health Feature-Blue","4,999",CrossBeats,Ignite S5,Silver,null
"CrossBeats Ignite Spectra Plus Premium Super Retina AMOLED smartwatch 1.78” Always on Display with BT Calling, Music & Storage up to 150+ Songs, TWS Pairing, AI Health Feature, 200+Watch Screen-Black","4,999",CrossBeats,Ignite,Carbon black,1.78 Inches
"CrossBeats Ignite LYT MAX Smart Watch for Men Women, 1.9 Inch HD Display, Multiple Sports Mode, Spo2 Heart Rate BP Monitoring, 100+ Watch Faces, Built-in Calendar, 15 Days Battery-Blue","1,499",CrossBeats,Igntite Lyt Max,Frozen Blue,1.9 Inches
"CrossBeats Apex Super Retina AMOLED Always On Display Smart Watch with Bluetooth Calling, in-Built Games, Metal Body, Fast Charging, 60 Sports Mode, 454×454 Pixel with 3D Glass, AOD Display-Blue","5,499",CrossBeats,Orbit Apex,Blue,1.4 Inches
"CrossBeats Orbit Bluetooth Calling Smart Watch Voice Assistant, 1.3” IPS HD IPS Display & Metal Body, Heart Rate & Spo2 Monitors, BP & Sleep Monitoring, 10 Day Battery Life smartwatch—Graphite Black","2,999",CrossBeats,Orbit,Graphite Black,1.3 Inches
"CrossBeats Ignite GRIT Smart Watch, 1.75” AMOLED Display with Advanced Bluetooth Calling, Rotating Crown,AI Health Sensors, 150+ Sports Modes, 250+Watch Faces, in-Built Games, 15 Days Battery-Black","3,499",CrossBeats,Ignite,Black,1.75 Inches
"CrossBeats Ignite Atlas Smartwatch, Segment First in-Built GPS and Bluetooth Calling, 1.69” HD RealHue™ 3D Display, Smart AI Health Spo2 HR BP, 200+ Watch Faces, 30 Days Battery, Multi-Sports (Black)","3,999",CrossBeats,Ignite,Black,1.69 Inches
"CrossBeats Orbit Advanced Dual chip BT Calling Smartwatch 1.3” 550 NITS HD Display Metal Body Leather Strap, Heart Rate Spo2 BP Sleep Monitor Fast Charge 10 Day Battery 200+Watch Face-Special Edition","3,499",CrossBeats,Orbit,Special Edition,1.3 Inches
"CrossBeats Apex Super Retina AMOLED Always On Display Smart Watch with Bluetooth Calling, in-Built Games, Metal Body, Fast Charging, 60 Sports Mode, 454×454 Pixel with 3D Glass, AOD Display-Black","5,499",CrossBeats,Orbit Apex,Black,1.4 Inches
"CrossBeats Ignite S4 Max BT Calling Smartwatch, 1.9” Edge-to-Edge UHD TrueHue™ Always on Display 320×385 Pixels SnapCharge™ Calculator, 500+ Watch Faces, AI Health Feature-Black","3,999",CrossBeats,Ignite,Black,1.9 Inches
"CrossBeats Ignite LYT MAX Smart Watch for Men Women, 1.9 Inch HD Display, Multiple Sports Mode, Spo2 Heart Rate BP Monitoring, 100+ Watch Faces, Built-in Calendar, 15 Days Battery-Pink","1,499",CrossBeats,Igntite Lyt Max,Allure Gold,1.9 Inches
"CrossBeats Spectra max Super Retina AMOLED Always on Display Smart Watch, 1.81 Inch 368*448 Resolution Smartwatch, AI ENC BT Calling, Crown Controls, 250+ Watch Faces, 150+ Sports Modes-Blue","3,999",CrossBeats,Spectra Max,Blue,1.81 Inches
"CrossBeats Newly launched Ignite S5 Advanced AI ENC BT Calling Smartwatch, 1.96” Super AMOLED Anti-Glare Screen, Always on Display, SnapCharge™ Calculator, 500+ Watch Faces, AI Health Feature-Black","4,999",CrossBeats,Ignite S5,Black,1.96 Inches
"CrossBeats PRIZM Super Retina AMOLED Smart Watch with Personalized Always on Display, AOD Screen, Fast Charging, Hindi Language, Health Vitals with Temperature Sensor, Leather Strap-Gold","3,999",CrossBeats,Orbit Prizm,Gold,1.3 Inches
"CrossBeats Ignite S3 Max Advanced Dual chip Bluetooth Calling Smart Watch, 1.85” 3D Curved UHD Display, 200+ smartwatch Faces, in-Built Game, 10 Days Battery Life, Spo2 & Heart Rate Monitoring-Black","2,999",CrossBeats,S3 Max,Black,1.85 Inches
"CrossBeats Ignite LYT MAX Smart Watch for Men Women, 1.9 Inch HD Display, Multiple Sports Mode, Spo2 Heart Rate BP Monitoring, 100+ Watch Faces, Built-in Calendar, 15 Days Battery-Black","1,499",CrossBeats,Igntite Lyt Max,Coal Black,1.9 Inches
"CrossBeats Ignite S4 Max BT Calling Smartwatch, 1.9” Edge-to-Edge UHD TrueHue™ Always on Display 320×385 Pixels SnapCharge™ Calculator, 500+ Watch Faces, AI Health Feature-Black","3,999",CrossBeats,Ignite,Black,1.9 Inches
"CrossBeats Apex Super Retina AMOLED Always On Display Smart Watch with Bluetooth Calling, in-Built Games, Metal Body, Fast Charging, 60 Sports Mode, 454×454 Pixel with 3D Glass, AOD Display-Black","5,499",CrossBeats,Orbit Apex,Black,1.4 Inches
"CrossBeats Ignite S4 Max BT Calling Smartwatch, 1.9” Edge-to-Edge UHD TrueHue™ Always on Display 320×385 Pixels SnapCharge™ Calculator, 500+ Watch Faces, AI Health Feature-Blue","3,999",CrossBeats,Ignite,Blue,1.9 Inches
"CrossBeats Newly launched Ignite S5 Advanced AI ENC BT Calling Smartwatch, 1.96” Super AMOLED Anti-Glare Screen, Always on Display, SnapCharge™ Calculator, 500+ Watch Faces, AI Health Feature-Black","4,999",CrossBeats,Ignite S5,Black,1.96 Inches
"CrossBeats Ignite Bluetooth Calling Smart Watch for Men & Women, 1.7” RealHue™ Display, AI Voice Assistance, 250+ smartwatch Faces, Heart Rate & SpO2, Multi-Sport Modes, 15 Days Battery (Black)","1,899",CrossBeats,Ignite calling,Black,1.7 Inches
"CrossBeats Ignite LYT MAX Smart Watch for Men Women, 1.9 Inch HD Display, Multiple Sports Mode, Spo2 Heart Rate BP Monitoring, 100+ Watch Faces, Built-in Calendar, 15 Days Battery-Black","1,499",CrossBeats,Igntite Lyt Max,Coal Black,1.9 Inches
"Samsung Galaxy Watch5 LTE (44 mm, Graphite, Compatible with Android only)","35,999",Samsung,Samsung Galaxy Watch5,Graphite,null
Samsung Watch 4 Hybrid Leather strap,"2,499",null,null,null,null
"Galaxy Watch4 Hybrid Leather Band (20mm, S/M) White","1,599",null,null,null,null
Samsung Watch 4 Hybrid Leather strap,"1,999",null,null,null,null
"Galaxy Watch4 Sport Band (20mm, M/L) Pink","1,199",null,null,null,null
"(Renewed) Samsung Galaxy Watch5 LTE (40 mm, Silver with Purple Strap, Compatible with Android only)",null,Samsung,null,Silver with Purple Strap,null
"Samsung Galaxy Watch3, 41mm LTE (Mystic Silver) SM-R855FZSAINS",null,null,null,null,null
"Galaxy Watch4 Hybrid Leather Band (20mm, S/M) RED","1,999",null,null,null,null
"(Renewed) Samsung Galaxy Watch5 LTE (44 mm, Silver, Compatible with Android only)",null,Samsung,null,Silver,null
"Galaxy Watch4 Sport Band (20mm, S/M) Pink","1,199",null,null,null,null
"Galaxy Watch4 Hybrid Leather Band (20mm, M/L) Mustard","1,500",null,null,null,null
"(Renewed) Samsung Galaxy Watch4 LTE (44mm, Black, Compatible with Android only)",null,Samsung,null,Black,null
"(Renewed) Samsung Galaxy Watch5 LTE (40 mm, Graphite, Compatible with Android only)",null,Samsung,null,Graphite,null
"Samsung Galaxy Watch5 Bluetooth (44 mm, Silver, Compatible with Android only)","29,990",Samsung,Samsung Galaxy Watch5,Silver,null
Samsung Watch 4 Hybrid Leather strap,"1,149",null,null,null,null
"Galaxy Watch4 Sport Band (20mm, M/L) Olive","1,199",null,null,null,null
"(Renewed) Samsung Galaxy Watch5 Bluetooth (44 mm, Sapphire, Compatible with Android only)",null,Samsung,Samsung Galaxy Watch5,Sapphire,null
"(Renewed) Samsung Galaxy Watch5 Bluetooth (44 mm, Graphite, Compatible with Android only)",null,Samsung,Samsung Galaxy Watch5,Graphite,null
"Galaxy Watch4 Hybrid Leather Band (20mm, S/M) Mustard","1,199",null,null,null,null
"Samsung Galaxy Watch4 LTE (4.4 cm, Green, Compatible with Android only)","31,999",Samsung,null,Green,null
"Galaxy Watch4 Hybrid Leather Band (20mm, S/M) Pink","1,299",null,null,null,null
"Samsung Galaxy Watch5 LTE (44 mm, Graphite, Compatible with Android only)","35,999",Samsung,Samsung Galaxy Watch5,Graphite,null
Samsung Watch 4 Hybrid Leather strap,"2,499",null,null,null,null
"Galaxy Watch4 Hybrid Leather Band (20mm, S/M) White","1,599",null,null,null,null
Samsung Watch 4 Hybrid Leather strap,"1,999",null,null,null,null
"Galaxy Watch4 Sport Band (20mm, M/L) Pink","1,199",null,null,null,null
"(Renewed) Samsung Galaxy Watch5 LTE (40 mm, Silver with Purple Strap, Compatible with Android only)",null,Samsung,null,Silver with Purple Strap,null
"Samsung Galaxy Watch3, 41mm LTE (Mystic Silver) SM-R855FZSAINS",null,null,null,null,null
"Galaxy Watch4 Hybrid Leather Band (20mm, S/M) RED","1,999",null,null,null,null
"(Renewed) Samsung Galaxy Watch5 LTE (44 mm, Silver, Compatible with Android only)",null,Samsung,null,Silver,null
"Galaxy Watch4 Sport Band (20mm, S/M) Pink","1,199",null,null,null,null
"Galaxy Watch4 Hybrid Leather Band (20mm, M/L) Mustard","1,500",null,null,null,null
"(Renewed) Samsung Galaxy Watch4 LTE (44mm, Black, Compatible with Android only)",null,Samsung,null,Black,null
"(Renewed) Samsung Galaxy Watch5 LTE (40 mm, Graphite, Compatible with Android only)",null,Samsung,null,Graphite,null
"Samsung Galaxy Watch5 Bluetooth (44 mm, Silver, Compatible with Android only)","29,990",Samsung,Samsung Galaxy Watch5,Silver,null
Samsung Watch 4 Hybrid Leather strap,"1,149",null,null,null,null
"Galaxy Watch4 Sport Band (20mm, M/L) Olive","1,199",null,null,null,null
"(Renewed) Samsung Galaxy Watch5 Bluetooth (44 mm, Sapphire, Compatible with Android only)",null,Samsung,Samsung Galaxy Watch5,Sapphire,null
"(Renewed) Samsung Galaxy Watch5 Bluetooth (44 mm, Graphite, Compatible with Android only)",null,Samsung,Samsung Galaxy Watch5,Graphite,null
"Galaxy Watch4 Hybrid Leather Band (20mm, S/M) Mustard","1,199",null,null,null,null
"Samsung Galaxy Watch4 LTE (4.4 cm, Green, Compatible with Android only)","31,999",Samsung,null,Green,null
"Galaxy Watch4 Hybrid Leather Band (20mm, S/M) Pink","1,299",null,null,null,null
"Samsung Galaxy Watch3, 41mm LTE (Mystic Gold) SM-R855FZDAINS","19,990",null,null,null,null
"(Renewed) Samsung Galaxy Watch5 Bluetooth (44 mm, Silver, Compatible with Android only)",null,Samsung,null,Silver,null
"Samsung Galaxy Watch3 1.2 inches 8GB ROM, 41mm BT, Mystic Bronze, Mystic Gold, (SM-R850NZDAMEA)","20,999",Samsung,Galaxy Noblesse_Watch3_41mm_LTE,Mystic Gold,4.1 Centimetres
"Samsung Galaxy Watch4 Classic Bluetooth(4.2 cm, Silver, Compatible with Android Only)",null,Samsung,null,Silver,42 Millimetres
"Samsung Galaxy Watch4 LTE (4.0 cm, Silver, Compatible with Android only)","28,998",Samsung,null,Silver,null
"Samsung Galaxy Watch5 Pro Bluetooth (45 mm, Black Titanium, Compatible with Android only)","44,999",Samsung,null,Black Titanium,null
"Samsung Galaxy Watch4 Classic Bluetooth(4.6 cm, Black, Compatible with Android Only)","18,180",Samsung,SM R-890,Black,4.6 Centimetres
"Samsung Galaxy Watch4 Bluetooth(4.4 cm, Silver, Compatible with Android only)",null,Samsung,"Samsung watch 4, 44mm Bluetooth Silver",Silver,7 Inches
"Samsung Galaxy Watch5 Bluetooth (44 mm, Sapphire, Compatible with Android only)","30,999",Samsung,null,Sapphire,null
"Samsung Galaxy Watch5 LTE (44 mm, Silver, Compatible with Android only)","35,999",Samsung,null,Silver,null
"(Renewed) Samsung Galaxy Watch5 Pro Bluetooth (45 mm, Black Titanium, Compatible with Android only)",null,Samsung,null,Black Titanium,null
"(Renewed) Samsung Galaxy Watch Active 2 LTE (Silver), SM-R825FSSAINU",null,Samsung,null,Silver,1.4 Inches
"Samsung Galaxy Watch5 Bluetooth (44 mm, Silver, Compatible with Android only)","29,139",Samsung,null,Silver,null
"Samsung Galaxy Watch4 Classic Bluetooth(4.2 cm, Black, Compatible with Android Only)","16,900",Samsung,null,Black,null
"Samsung Galaxy Watch5 Bluetooth (44 mm, Graphite, Compatible with Android only)","30,999",Samsung,null,Graphite,null
"Samsung Galaxy Watch 4 | Extreme Sport Band (20mm, M/L) | Black","1,199",null,null,null,null
"Samsung Galaxy Watch 3 45mm Bluetooth (Mystic Silver),SM-R840NZSAINS","20,000",null,null,null,null
"Samsung Galaxy Watch 3 45mm Bluetooth (Mystic Black),SM-R840NZKAINS","15,999",Samsung,Galaxy Noblesse_Watch3_45mm_BT,Mystic Black,null
"(Renewed) Samsung SM-R840NZKAINS Bluetooth Watch 3- Black, Leather (Wireless)",null,Samsung,Samsung Watch 3,Black,44 Millimetres
Samsung Gear S2 Smartwatch for Most Android Phones - Dark Gray,"7,999",Samsung,null,Dark Gray,1.2
"Samsung Galaxy Watch4 Bluetooth(4.4 cm, Black, Compatible with Android only)",null,Samsung,null,Black,null
"Samsung Galaxy Watch Active 2 (Bluetooth, 44 mm) - Black, Aluminium Dial, Silicon Straps","19,990",Samsung,Galaxy Watch Active2 44mm AL,Black,1.4 Inches
Samsung Galaxy Watch 3 41 mm Smartwatch (Mystic Silver) SM-850NZSAINU,"11,099",Samsung,SM-R850NZSAINU,Silver,null
"Samsung Galaxy Watch 3 45mm SM-R845FZKAINS (LTE, Bluetooth,Wi-Fi, GPS) Smart Watch","22,900",Samsung,null,Black,null
"Amazfit Bip 3 Smart Watch with 1.69"" Large Color Display,2 Weeks' Battery Life,5 ATM Water-Resistance, Cricket Sports Data Monitoring, 60 Sports Modes and Blood-Oxygen Saturation Measurement (Black)","3,499",Amazfit,BIP 3,Black,1.69 Inches
Amazfit Zepp 20mm Soft Silicon Fluorubber Strap for Compatible with Amazfit BIP U PRO / BIP U / GTS 2 Mini / GTS 2 / GTS 2e / NEO / BIP S / BIP S lite (Coral Orange),899,null,null,null,null
(Renewed) Amazfit SmartWatch- Black (5 ATM),null,Amazfit,null,Black,1.43 Inches
(Renewed) Amazfit Bip U Smart Watch- Pink (5 ATM),null,Amazfit,null,Pink,1.43 Inches
"(Renewed) Amazfit Aluminum Alloy 14Days Battery Life, 70+ Sports Modes,Built-in GPS, SpO2 Level Measurement,Heart Rate,Sleep & Stress Level Monitoring GTS 2 Mini Super-Light Smartwatch, Midnight Black",null,Amazfit,AMAZFIT GTS 2,Midnight Black,1.55 Inches
(Renewed) Amazfit Verge IP68 Smart Watch (Gray),null,Amazfit,null,Gray,1.5 Inches
"(Renewed) Huami Amazfit Bip S Smart Watch with Built -in GPS, Long Battery Life, Always-on Display, 5ATM Water Resistance (White Rock)",null,Amazfit,null,White,1.28 Inches
"(Renewed) Amazfit GTS 3 Smart Watch with Heart Rate, SpO2, Sleep, Stress, Female Cycle Monitoring, Sports Watch with 150+ Sports Modes, GPS, 5 ATM Waterproof, Alexa Built-in (Graphite Black), Regular",null,Amazfit,GTS 3,Black,4 Centimetres
"Amazfit T-Rex 2 Premium Multisport GPS Sports Watch, Real-time Navigation, Strength Exercise, 150+ Sports Modes& 10 ATM Waterproof, HR, SpO2 Monitoring and 24-day Long Battery Life(Astro Black & Gold)","15,999",Amazfit,T-rex 2,Astro Black & Gold,1.39 Inches
"Amazfit Bip 3 Pro Smart Watch with 1.69"" Large Color Display,2 Weeks' Battery Life,5 ATM Water-Resistance,60 Sports Modes, High-Precision GPS, and Blood-Oxygen Saturation Measurement (Cream)","4,499",Amazfit,BIP 3 Pro,Cream,1.69 Inches
"Amazfit Band 7 Activity Fitness Tracker, Always-on Display Smart Watch, Alexa Built-in, Up to 18-Day Battery Life, 24H Heart Rate & SpO2 Monitoring, 5 ATM Water Resistant, 120 Sports Modes (Beige)","3,499",Amazfit,null,Beige,1.47 Inches
"Amazfit GTS 4 Mini Smart Watch, Alexa Built-in Fitness Tracker with 24H Heart Rate Blood Oxygen Monitor, 5 Satellite Positioning, 120+ Sports Modes, 5 ATM Waterproof (Mint Blue)","7,999",Amazfit,GTS 4 Mini,Mint Blue,null
"Amazfit GTR 3 Pro Smart Watch with Bluetooth Phone Calls, Alexa, GPS, WiFi, 12-Day Battery Life, 150 Sports Modes, 1.45”AMOLED Display, Blood Oxygen Heart Rate Tracking, Waterproof (Brown Leather)","18,990",Amazfit,GTR 3 Pro,Brown,1.45 Inches
"Amazfit GTS 2 (New Version) Smart Watch with Ultra HD AMOLED Display, Built-in Amazon Alexa, Built-in GPS, SpO2 & Stress Monitor, Bluetooth Phone Calls, 3GB Music Storage, 90 Sports Modes(Space Black)","7,999",Amazfit,GTS 2 New Version,Space Black,null
"Amazfit Zepp E Stylish Smart Watch Square Version , Health and Fitness Tacker with Heart Rate, SpO2 and REM Sleep Monitoring, Stainless Steel Body with Metal Straps (Metallic Black Special Edition)","6,999",Amazfit,null,Metallic Black Special Edition,1.65 Inches
"Amazfit GTS 4 Smart Watch with 1.75” AMOLED Display, Bluetooth Calling, Alexa Built-in, SpO2, Accurate GPS Tracking Fitness Sports Watch with 150 Sports Modes, 8-Day Battery Life (Rosebud Pink)","16,999",Amazfit,GTS 4,Rosebud Pink,1.75 Inches
"Amazfit Zepp E Stylish Smart Watch Square Version , Health and Fitness Tacker with Heart Rate, SpO2 and REM Sleep Monitoring, Stainless Steel Body with Genuine Leather Band (Polar Night Black)","6,999",Amazfit,null,Polar Night Black,1.65 Inches
"Amazfit GTR 3 Smart Watch Fitness Watch with Health Monitoring, 1.39"" AMOLED Display, Sports Watch with 150+ Sports Modes, GPS, 21 Days Battery Life, Alexa Built-in (Moonlight Grey)","13,990",Amazfit,null,Gray,1.39 Inches
