Name,price,Brand,Model Name,Style,Colour,Screen Size,Series,Special Feature,Target Audience,Age Range (Description),Shape,Item Dimensions LxWxH,Item Weight,Battery Life
"Fire-Boltt India's No 1 Smartwatch Brand Ring Bluetooth Calling with SpO2 & 1.7” Metal Body with Blood Oxygen Monitoring, Continuous Heart Rate, Full Touch & Multiple Watch Faces","2,499",Fire-Boltt,Ring,strap,Black,1.7 Inches,,,,,,,,
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution","1,799",Fire-Boltt,Ninja Call Pro,Modern,Gold Black,1.83 Inches,,,,,,,,
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution","1,799",Fire-Boltt,Ninja Call Pro,Modern,Grey,1.83 Inches,,,,,,,,
"Fire-Boltt Ninja Calling 1.69"" (4.29cm) Bluetooth Calling Smart Watch, Dial Pad, Speaker, AI Voice Assistant with 450 NITS Peak Brightness, Wrist Gaming & 100+ Faces with SpO2,HR, Multiple Sports Mode","1,999",Fire-Boltt,Ninja Calling,Modern,Rose Golden,1.69 Inches,,,,,,,,
"Fire-Boltt Dazzle Plus 1.83"" Smartwatch Full Touch Largest Borderless Display & 60 Sports Modes (Swimming) with IP68 Rating, Sp02 Tracking, Over 100 Cloud Based Watch Faces","1,399",Fire-Boltt,Dazzle,Modern,Black,1.83 Inches,,,,,,,,
"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 "" & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud based watch faces ( Silver )","1,299",Fire-Boltt,Ninja 3,Modern,Grey,1.69 Inches,,,,,,,,
"Fire-Boltt Ninja Calling 1.69"" Bluetooth Calling Smart Watch, Dial Pad, Speaker, AI Voice Assistant with 450 NITS Peak Brightness, Wrist Gaming & 100+ Watch Faces with SpO2, HR, Multiple Sports Mode","1,999",Fire-Boltt,Ninja Calling,Modern,Black,1.69 Inches,,,,,,,,
"Fire-Boltt 360 SpO2 Full Touch Large Display Round Smartwatch with in-Built Games, 8 Days Battery Life, IP67 Water Resistant with Blood Oxygen & Heart Rate Monitoring","1,999",Fire-Boltt,BSW003 360 SpO2,360,Grey,1.3 Inches,,,,,,,,
"Fire-Boltt Ring 3 Smart Watch 1.8 Biggest Display with Advanced Bluetooth Calling Chip, Voice Assistance,118 Sports Modes, in Built Calculator & Games, SpO2, Heart Rate Monitoring","2,998",Fire-Boltt,Ring 3,Modern,Black,1.8 Inches,,,,,,,,
"Fire-Boltt Dagger 1.43"" AMOLED Display Smartwatch with Single BT Bluetooth Calling, IP68, Dual Button Technology, Rugged Build, AI Voice Assistant, Multiple Sports Modes & Health Suite","3,499",Fire-Boltt,,Modern,Grey,1.43 Inches,Dagger,,,,,,,
